中文名,英文名,类别
利福平,rifampicin,抗结核
异烟肼,isoniazid,抗结核
吡嗪酰胺,pyrazinamide,抗结核
乙胺丁醇,ethambutol,抗结核
利福布汀,rifabutin,抗结核
利福喷汀,rifapentine,抗结核
克拉维酸,clavulanic acid,抗生素
舒巴坦,sulbactam,抗生素
他唑巴坦,tazobactam,抗生素
万古霉素,vancomycin,抗生素
替考拉宁,teicoplanin,抗生素
利奈唑胺,linezolid,抗生素
达托霉素,daptomycin,抗生素
多黏菌素B,polymyxin B,抗生素
黏菌素,colistin,抗生素
克林霉素,clindamycin,抗生素
林可霉素,lincomycin,抗生素
夫西地酸,fusidic acid,抗生素
莫匹罗星,mupirocin,抗生素
磷霉素,fosfomycin,抗生素
氟康唑,fluconazole,抗真菌
伊曲康唑,itraconazole,抗真菌
伏立康唑,voriconazole,抗真菌
泊沙康唑,posaconazole,抗真菌
两性霉素B,amphotericin B,抗真菌
制霉菌素,nystatin,抗真菌
特比萘芬,terbinafine,抗真菌
克霉唑,clotrimazole,抗真菌
咪康唑,miconazole,抗真菌
酮康唑,ketoconazole,抗真菌
卡泊芬净,caspofungin,抗真菌
米卡芬净,micafungin,抗真菌
阿尼芬净,anidulafungin,抗真菌
灰黄霉素,griseofulvin,抗真菌
阿昔洛韦,aciclovir,抗病毒
伐昔洛韦,valaciclovir,抗病毒
更昔洛韦,ganciclovir,抗病毒
泛昔洛韦,famciclovir,抗病毒
喷昔洛韦,penciclovir,抗病毒
奥司他韦,oseltamivir,抗病毒
扎那米韦,zanamivir,抗病毒
利巴韦林,ribavirin,抗病毒
恩替卡韦,entecavir,抗病毒
替诺福韦,tenofovir,抗病毒
替诺福韦酯,tenofovir disoproxil,抗病毒
拉米夫定,lamivudine,抗病毒
齐多夫定,zidovudine,抗病毒
阿巴卡韦,abacavir,抗病毒
司他夫定,stavudine,抗病毒
去羟肌苷,didanosine,抗病毒
依非韦伦,efavirenz,抗病毒
奈韦拉平,nevirapine,抗病毒
洛匹那韦,lopinavir,抗病毒
利托那韦,ritonavir,抗病毒
索磷布韦,sofosbuvir,抗病毒
达卡他韦,daclatasvir,抗病毒
阿德福韦,adefovir,抗病毒
金刚烷胺,amantadine,抗病毒
金刚乙胺,rimantadine,抗病毒
玛巴洛沙韦,baloxavir marboxil,抗病毒
硝苯地平,nifedipine,心血管
氨氯地平,amlodipine,心血管
非洛地平,felodipine,心血管
尼群地平,nitrendipine,心血管
尼莫地平,nimodipine,心血管
拉西地平,lacidipine,心血管
左旋氨氯地平,levamlodipine,心血管
卡托普利,captopril,心血管
依那普利,enalapril,心血管
赖诺普利,lisinopril,心血管
贝那普利,benazepril,心血管
培哚普利,perindopril,心血管
福辛普利,fosinopril,心血管
雷米普利,ramipril,心血管
氯沙坦,losartan,心血管
缬沙坦,valsartan,心血管
厄贝沙坦,irbesartan,心血管
替米沙坦,telmisartan,心血管
坎地沙坦,candesartan,心血管
奥美沙坦,olmesartan,心血管
阿利沙坦,azilsartan,心血管
美托洛尔,metoprolol,心血管
比索洛尔,bisoprolol,心血管
阿替洛尔,atenolol,心血管
普萘洛尔,propranolol,心血管
卡维地洛,carvedilol,心血管
拉贝洛尔,labetalol,心血管
索他洛尔,sotalol,心血管
艾司洛尔,esmolol,心血管
胺碘酮,amiodarone,心血管
普罗帕酮,propafenone,心血管
利多卡因,lidocaine,心血管
地高辛,digoxin,心血管
多巴胺,dopamine,心血管
多巴酚丁胺,dobutamine,心血管
肾上腺素,adrenaline,心血管
去甲肾上腺素,norepinephrine,心血管
异丙肾上腺素,isoprenaline,心血管
硝酸甘油,glyceryl trinitrate,心血管
硝酸异山梨酯,isosorbide dinitrate,心血管
单硝酸异山梨酯,isosorbide mononitrate,心血管
地尔硫卓,diltiazem,心血管
维拉帕米,verapamil,心血管
乌拉地尔,urapidil,心血管
硝普钠,sodium nitroprusside,心血管
酚妥拉明,phentolamine,心血管
酚苄明,phenoxybenzamine,心血管
多沙唑嗪,doxazosin,心血管
特拉唑嗪,terazosin,心血管
坦索罗辛,tamsulosin,心血管
西地那非,sildenafil,心血管
他达拉非,tadalafil,心血管
伐地那非,vardenafil,心血管
前列地尔,alprostadil,心血管
米力农,milrinone,心血管
左西孟旦,levosimendan,心血管
尼可地尔,nicorandil,心血管
伊伐布雷定,ivabradine,心血管
辛伐他汀,simvastatin,降脂
阿托伐他汀,atorvastatin,降脂
瑞舒伐他汀,rosuvastatin,降脂
普伐他汀,pravastatin,降脂
氟伐他汀,fluvastatin,降脂
洛伐他汀,lovastatin,降脂
匹伐他汀,pitavastatin,降脂
依折麦布,ezetimibe,降脂
非诺贝特,fenofibrate,降脂
吉非罗齐,gemfibrozil,降脂
苯扎贝特,bezafibrate,降脂
阿昔莫司,acipimox,降脂
普罗布考,probucol,降脂
华法林,warfarin,抗凝
达比加群,dabigatran,抗凝
利伐沙班,rivaroxaban,抗凝
阿哌沙班,apixaban,抗凝
依度沙班,edoxaban,抗凝
氯吡格雷,clopidogrel,抗凝
替格瑞洛,ticagrelor,抗凝
双嘧达莫,dipyridamole,抗凝
西洛他唑,cilostazol,抗凝
氨甲环酸,tranexamic acid,抗凝
氨基己酸,aminocaproic acid,抗凝
酚磺乙胺,ethamsylate,抗凝
硫酸亚铁,ferrous sulfate,血液
富马酸亚铁,ferrous fumarate,血液
琥珀酸亚铁,ferrous succinate,血液
叶酸,folic acid,血液
维生素B12,cyanocobalamin,血液
甲钴胺,mecobalamin,血液
维生素K1,phylloquinone,血液
维生素K3,menadione,血液
螺内酯,spironolactone,利尿
呋塞米,furosemide,利尿
氢氯噻嗪,hydrochlorothiazide,利尿
吲达帕胺,indapamide,利尿
托拉塞米,torasemide,利尿
布美他尼,bumetanide,利尿
阿米洛利,amiloride,利尿
氨苯蝶啶,triamterene,利尿
甘露醇,mannitol,利尿
奥美拉唑,omeprazole,消化
兰索拉唑,lansoprazole,消化
泮托拉唑,pantoprazole,消化
雷贝拉唑,rabeprazole,消化
埃索美拉唑,esomeprazole,消化
法莫替丁,famotidine,消化
西咪替丁,cimetidine,消化
雷尼替丁,ranitidine,消化
尼扎替丁,nizatidine,消化
碳酸氢钠,sodium bicarbonate,消化
枸橼酸铋钾,bismuth potassium citrate,消化
硫糖铝,sucralfate,消化
多潘立酮,domperidone,消化
甲氧氯普胺,metoclopramide,消化
莫沙必利,mosapride,消化
西沙必利,cisapride,消化
昂丹司琼,ondansetron,消化
格拉司琼,granisetron,消化
托烷司琼,tropisetron,消化
帕洛诺司琼,palonosetron,消化
阿瑞匹坦,aprepitant,消化
乳果糖,lactulose,消化
蒙脱石,diosmectite,消化
洛哌丁胺,loperamide,消化
匹维溴铵,pinaverium bromide,消化
山莨菪碱,anisodamine,消化
阿托品,atropine,消化
东莨菪碱,scopolamine,消化
间苯三酚,phloroglucinol,消化
熊去氧胆酸,ursodeoxycholic acid,消化
水飞蓟宾,silibinin,消化
甘草酸二铵,diammonium glycyrrhizinate,消化
联苯双酯,bifendate,消化
双环醇,bicyclol,消化
二甲硅油,dimethicone,消化
瑞巴派特,rebamipide,消化
替普瑞酮,teprenone,消化
吉法酯,gefarnate,消化
谷氨酰胺,glutamine,消化
二甲双胍,metformin,糖尿病
格列本脲,glibenclamide,糖尿病
格列吡嗪,glipizide,糖尿病
格列齐特,gliclazide,糖尿病
格列美脲,glimepiride,糖尿病
瑞格列奈,repaglinide,糖尿病
那格列奈,nateglinide,糖尿病
阿卡波糖,acarbose,糖尿病
伏格列波糖,voglibose,糖尿病
米格列醇,miglitol,糖尿病
吡格列酮,pioglitazone,糖尿病
罗格列酮,rosiglitazone,糖尿病
西格列汀,sitagliptin,糖尿病
维格列汀,vildagliptin,糖尿病
沙格列汀,saxagliptin,糖尿病
利格列汀,linagliptin,糖尿病
阿格列汀,alogliptin,糖尿病
达格列净,dapagliflozin,糖尿病
恩格列净,empagliflozin,糖尿病
卡格列净,canagliflozin,糖尿病
左甲状腺素,levothyroxine,内分泌
丙硫氧嘧啶,propylthiouracil,内分泌
甲巯咪唑,thiamazole,内分泌
泼尼松,prednisone,内分泌
泼尼松龙,prednisolone,内分泌
甲泼尼龙,methylprednisolone,内分泌
地塞米松,dexamethasone,内分泌
氢化可的松,hydrocortisone,内分泌
倍他米松,betamethasone,内分泌
曲安奈德,triamcinolone acetonide,内分泌
布地奈德,budesonide,内分泌
丙酸氟替卡松,fluticasone propionate,内分泌
糠酸莫米松,mometasone furoate,内分泌
氟轻松,fluocinonide,内分泌
睾酮,testosterone,内分泌
甲睾酮,methyltestosterone,内分泌
十一酸睾酮,testosterone undecanoate,内分泌
雌二醇,estradiol,内分泌
雌三醇,estriol,内分泌
炔雌醇,ethinylestradiol,内分泌
己烯雌酚,diethylstilbestrol,内分泌
黄体酮,progesterone,内分泌
甲羟孕酮,medroxyprogesterone,内分泌
炔诺酮,norethisterone,内分泌
左炔诺孕酮,levonorgestrel,内分泌
米非司酮,mifepristone,内分泌
达那唑,danazol,内分泌
氯米芬,clomifene,内分泌
来曲唑,letrozole,抗肿瘤
阿那曲唑,anastrozole,抗肿瘤
他莫昔芬,tamoxifen,抗肿瘤
托瑞米芬,toremifene,抗肿瘤
氟他胺,flutamide,抗肿瘤
比卡鲁胺,bicalutamide,抗肿瘤
恩杂鲁胺,enzalutamide,抗肿瘤
阿比特龙,abiraterone,抗肿瘤
环磷酰胺,cyclophosphamide,抗肿瘤
异环磷酰胺,ifosfamide,抗肿瘤
甲氨蝶呤,methotrexate,抗肿瘤
氟尿嘧啶,fluorouracil,抗肿瘤
卡培他滨,capecitabine,抗肿瘤
吉西他滨,gemcitabine,抗肿瘤
阿糖胞苷,cytarabine,抗肿瘤
巯嘌呤,mercaptopurine,抗肿瘤
硫唑嘌呤,azathioprine,抗肿瘤
羟基脲,hydroxycarbamide,抗肿瘤
依托泊苷,etoposide,抗肿瘤
替尼泊苷,teniposide,抗肿瘤
长春新碱,vincristine,抗肿瘤
长春碱,vinblastine,抗肿瘤
长春瑞滨,vinorelbine,抗肿瘤
紫杉醇,paclitaxel,抗肿瘤
多西他赛,docetaxel,抗肿瘤
伊立替康,irinotecan,抗肿瘤
拓扑替康,topotecan,抗肿瘤
奥沙利铂,oxaliplatin,抗肿瘤
顺铂,cisplatin,抗肿瘤
卡铂,carboplatin,抗肿瘤
达卡巴嗪,dacarbazine,抗肿瘤
替莫唑胺,temozolomide,抗肿瘤
多柔比星,doxorubicin,抗肿瘤
表柔比星,epirubicin,抗肿瘤
吡柔比星,pirarubicin,抗肿瘤
柔红霉素,daunorubicin,抗肿瘤
伊达比星,idarubicin,抗肿瘤
米托蒽醌,mitoxantrone,抗肿瘤
博来霉素,bleomycin,抗肿瘤
丝裂霉素,mitomycin,抗肿瘤
放线菌素D,dactinomycin,抗肿瘤
吉非替尼,gefitinib,抗肿瘤
厄洛替尼,erlotinib,抗肿瘤
奥希替尼,osimertinib,抗肿瘤
埃克替尼,icotinib,抗肿瘤
阿法替尼,afatinib,抗肿瘤
克唑替尼,crizotinib,抗肿瘤
阿来替尼,alectinib,抗肿瘤
塞瑞替尼,ceritinib,抗肿瘤
伊马替尼,imatinib,抗肿瘤
达沙替尼,dasatinib,抗肿瘤
尼洛替尼,nilotinib,抗肿瘤
舒尼替尼,sunitinib,抗肿瘤
索拉非尼,sorafenib,抗肿瘤
仑伐替尼,lenvatinib,抗肿瘤
阿帕替尼,apatinib,抗肿瘤
安罗替尼,anlotinib,抗肿瘤
培唑帕尼,pazopanib,抗肿瘤
卡博替尼,cabozantinib,抗肿瘤
依维莫司,everolimus,抗肿瘤
西罗莫司,sirolimus,抗肿瘤
来那度胺,lenalidomide,抗肿瘤
沙利度胺,thalidomide,抗肿瘤
泊马度胺,pomalidomide,抗肿瘤
硼替佐米,bortezomib,抗肿瘤
卡非佐米,carfilzomib,抗肿瘤
伊沙佐米,ixazomib,抗肿瘤
地西泮,diazepam,神经精神
劳拉西泮,lorazepam,神经精神
阿普唑仑,alprazolam,神经精神
氯硝西泮,clonazepam,神经精神
艾司唑仑,estazolam,神经精神
咪达唑仑,midazolam,神经精神
唑吡坦,zolpidem,神经精神
佐匹克隆,zopiclone,神经精神
右佐匹克隆,eszopiclone,神经精神
苯巴比妥,phenobarbital,神经精神
戊巴比妥,pentobarbital,神经精神
异戊巴比妥,amobarbital,神经精神
丙泊酚,propofol,神经精神
氯胺酮,ketamine,神经精神
氟哌啶醇,haloperidol,神经精神
氯丙嗪,chlorpromazine,神经精神
奋乃静,perphenazine,神经精神
舒必利,sulpiride,神经精神
氨磺必利,amisulpride,神经精神
奥氮平,olanzapine,神经精神
利培酮,risperidone,神经精神
帕利哌酮,paliperidone,神经精神
喹硫平,quetiapine,神经精神
阿立哌唑,aripiprazole,神经精神
氯氮平,clozapine,神经精神
齐拉西酮,ziprasidone,神经精神
舍曲林,sertraline,神经精神
氟西汀,fluoxetine,神经精神
帕罗西汀,paroxetine,神经精神
西酞普兰,citalopram,神经精神
艾司西酞普兰,escitalopram,神经精神
氟伏沙明,fluvoxamine,神经精神
文拉法辛,venlafaxine,神经精神
度洛西汀,duloxetine,神经精神
米氮平,mirtazapine,神经精神
安非他酮,bupropion,神经精神
曲唑酮,trazodone,神经精神
阿米替林,amitriptyline,神经精神
多塞平,doxepin,神经精神
氯米帕明,clomipramine,神经精神
丙咪嗪,imipramine,神经精神
去甲替林,nortriptyline,神经精神
马普替林,maprotiline,神经精神
碳酸锂,lithium carbonate,神经精神
丙戊酸,valproic acid,神经精神
卡马西平,carbamazepine,神经精神
奥卡西平,oxcarbazepine,神经精神
拉莫三嗪,lamotrigine,神经精神
左乙拉西坦,levetiracetam,神经精神
托吡酯,topiramate,神经精神
加巴喷丁,gabapentin,神经精神
普瑞巴林,pregabalin,神经精神
苯妥英,phenytoin,神经精神
乙琥胺,ethosuximide,神经精神
左旋多巴,levodopa,神经精神
卡比多巴,carbidopa,神经精神
苯海索,benzhexol,神经精神
司来吉兰,selegiline,神经精神
恩他卡朋,entacapone,神经精神
普拉克索,pramipexole,神经精神
罗匹尼罗,ropinirole,神经精神
雷沙吉兰,rasagiline,神经精神
多奈哌齐,donepezil,神经精神
卡巴拉汀,rivastigmine,神经精神
美金刚,memantine,神经精神
加兰他敏,galantamine,神经精神
石杉碱甲,huperzine A,神经精神
纳洛酮,naloxone,神经精神
纳曲酮,naltrexone,神经精神
哌甲酯,methylphenidate,神经精神
托莫西汀,atomoxetine,神经精神
莫达非尼,modafinil,神经精神
丁螺环酮,buspirone,神经精神
坦度螺酮,tandospirone,神经精神
氟桂利嗪,flunarizine,神经精神
桂利嗪,cinnarizine,神经精神
倍他司汀,betahistine,神经精神
长春西汀,vinpocetine,神经精神
吡拉西坦,piracetam,神经精神
奥拉西坦,oxiracetam,神经精神
胞磷胆碱,citicoline,神经精神
依达拉奉,edaravone,神经精神
丁苯酞,butylphthalide,神经精神
尼麦角林,nicergoline,神经精神
氯雷他定,loratadine,抗过敏
地氯雷他定,desloratadine,抗过敏
西替利嗪,cetirizine,抗过敏
左西替利嗪,levocetirizine,抗过敏
非索非那定,fexofenadine,抗过敏
依巴斯汀,ebastine,抗过敏
氯苯那敏,chlorphenamine,抗过敏
苯海拉明,diphenhydramine,抗过敏
异丙嗪,promethazine,抗过敏
赛庚啶,cyproheptadine,抗过敏
酮替芬,ketotifen,抗过敏
色甘酸钠,sodium cromoglicate,抗过敏
孟鲁司特,montelukast,呼吸
扎鲁司特,zafirlukast,呼吸
沙丁胺醇,salbutamol,呼吸
特布他林,terbutaline,呼吸
福莫特罗,formoterol,呼吸
沙美特罗,salmeterol,呼吸
丙卡特罗,procaterol,呼吸
班布特罗,bambuterol,呼吸
异丙托溴铵,ipratropium bromide,呼吸
噻托溴铵,tiotropium bromide,呼吸
格隆溴铵,glycopyrronium bromide,呼吸
氨茶碱,aminophylline,呼吸
茶碱,theophylline,呼吸
多索茶碱,doxofylline,呼吸
二羟丙茶碱,diprophylline,呼吸
麻黄碱,ephedrine,呼吸
伪麻黄碱,pseudoephedrine,呼吸
右美沙芬,dextromethorphan,呼吸
喷托维林,pentoxyverine,呼吸
苯丙哌林,benproperine,呼吸
氨溴索,ambroxol,呼吸
乙酰半胱氨酸,acetylcysteine,呼吸
羧甲司坦,carbocisteine,呼吸
非那雄胺,finasteride,泌尿
度他雄胺,dutasteride,泌尿
索利那新,solifenacin,泌尿
托特罗定,tolterodine,泌尿
米拉贝隆,mirabegron,泌尿
别嘌醇,allopurinol,免疫
非布司他,febuxostat,免疫
苯溴马隆,benzbromarone,免疫
秋水仙碱,colchicine,免疫
羟氯喹,hydroxychloroquine,免疫
氯喹,chloroquine,免疫
环孢素,cyclosporine,免疫
他克莫司,tacrolimus,免疫
吗替麦考酚酯,mycophenolate mofetil,免疫
麦考酚酸,mycophenolic acid,免疫
来氟米特,leflunomide,免疫
柳氮磺吡啶,sulfasalazine,免疫
雷公藤甲素,triptolide,免疫
维A酸,tretinoin,皮肤
异维A酸,isotretinoin,皮肤
阿达帕林,adapalene,皮肤
他扎罗汀,tazarotene,皮肤
阿维A,acitretin,皮肤
丙酸氯倍他索,clobetasol propionate,皮肤
卤米松,halometasone,皮肤
丁酸氢化可的松,hydrocortisone butyrate,皮肤
他克莫司软膏,tacrolimus,皮肤
吡美莫司,pimecrolimus,皮肤
卡泊三醇,calcipotriol,皮肤
米诺地尔,minoxidil,皮肤
联苯苄唑,bifonazole,皮肤
过氧化苯甲酰,benzoyl peroxide,皮肤
尿素,urea,皮肤
水杨酸,salicylic acid,皮肤
维生素A,retinol,营养
维生素B1,thiamine,营养
维生素B2,riboflavin,营养
烟酸,niacin,营养
烟酰胺,nicotinamide,营养
泛酸,pantothenic acid,营养
维生素B6,pyridoxine,营养
维生素C,ascorbic acid,营养
维生素D2,ergocalciferol,营养
维生素D3,cholecalciferol,营养
维生素E,tocopherol,营养
辅酶Q10,ubidecarenone,营养
左卡尼汀,levocarnitine,营养
葡萄糖酸钙,calcium gluconate,营养
葡萄糖酸锌,zinc gluconate,营养
硫酸镁,magnesium sulfate,营养
氯化钾,potassium chloride,营养
亚硒酸钠,sodium selenite,营养
碳酸钙,calcium carbonate,营养
磷酸氢钙,calcium hydrogen phosphate,营养
枸橼酸钙,calcium citrate,营养
肌苷,inosine,其他
三磷酸腺苷,adenosine triphosphate,其他
门冬氨酸钾镁,potassium magnesium aspartate,其他
辅酶A,coenzyme A,其他
腺苷,adenosine,其他
地佐辛,dezocine,镇痛
罗通定,rotundine,镇痛
碘海醇,iohexol,其他
碘帕醇,iopamidol,其他
钆喷酸葡胺,gadopentetate dimeglumine,其他
钆布醇,gadobutrol,其他
乙胺嘧啶,pyrimethamine,抗疟
舒芬太尼,sufentanil,镇痛
瑞芬太尼,remifentanil,镇痛
缬更昔洛韦,valganciclovir,抗病毒
利匹韦林,rilpivirine,抗病毒
普拉格雷,prasugrel,抗凝
依普利酮,eplerenone,利尿
倍氯米松,beclometasone,内分泌
溴己新,bromhexine,呼吸
米索前列醇,misoprostol,消化
依托咪酯,etomidate,神经精神
右美托咪定,dexmedetomidine,神经精神
碘塞罗宁,liothyronine,内分泌
碘化钾,potassium iodide,内分泌
苯丁酸氮芥,chlorambucil,抗肿瘤
依西美坦,exemestane,抗肿瘤
司坦唑醇,stanozolol,内分泌
鹅去氧胆酸,chenodeoxycholic acid,消化
艾司佐匹克隆,eszopiclone,神经精神
七氟烷,sevoflurane,神经精神
氟替卡松,fluticasone,内分泌
莫米松,mometasone,内分泌
